Week,Team,Points,Opponent,Opponent points,Year,Win?
11,The Adult Beverages,123.03,Franks,150.99,2016,FALSE
12,The Indubitablys,168.39,The Adult Beverages,148.7,2016,TRUE
12,The Adult Beverages,148.7,The Indubitablys,168.39,2016,FALSE
12,Binaries,176.84,Earthbreakwood,131.55,2016,TRUE
12,Earthbreakwood,131.55,Binaries,176.84,2016,FALSE
12,Franks,160.31,The Chillybows,150.82,2016,TRUE
12,The Chillybows,150.82,Franks,160.31,2016,FALSE
12,Polk High Panthers,146.29,Priests with guns,119.1,2016,TRUE
12,Priests with guns,119.1,Polk High Panthers,146.29,2016,FALSE
13,The Indubitablys,171.96,Binaries,137.25,2016,TRUE
13,Binaries,137.25,The Indubitablys,171.96,2016,FALSE
13,Earthbreakwood,131.34,The Adult Beverages,139.54,2016,FALSE
13,The Adult Beverages,139.54,Earthbreakwood,131.34,2016,TRUE
13,Franks,169.23,Polk High Panthers,79.96,2016,TRUE
13,Polk High Panthers,79.96,Franks,169.23,2016,FALSE
13,Priests with guns,155.95,The Chillybows,149.14,2016,TRUE
13,The Chillybows,149.14,Priests with guns,155.95,2016,FALSE
14,The Indubitablys,146.06,Earthbreakwood,126.18,2016,TRUE
14,Earthbreakwood,126.18,The Indubitablys,146.06,2016,FALSE
14,Binaries,127.63,The Adult Beverages,95.77,2016,TRUE
14,The Adult Beverages,95.77,Binaries,127.63,2016,FALSE
14,Franks,89.86,Priests with guns,158.12,2016,FALSE
14,Priests with guns,158.12,Franks,89.86,2016,TRUE
14,Polk High Panthers,143.1,The Chillybows,120.55,2016,TRUE
14,The Chillybows,120.55,Polk High Panthers,143.1,2016,FALSE
1,The Indubitablys,189.62,The Chillybows,140.82,2015,TRUE
1,The Chillybows,140.82,The Indubitablys,189.62,2015,FALSE
1,Binaries,176.25,Nuns with guns,150.96,2015,TRUE
1,Nuns with guns,150.96,Binaries,176.25,2015,FALSE
1,Priests with guns,137.19,Polk High Panthers,136.78,2015,TRUE
1,Polk High Panthers,136.78,Priests with guns,137.19,2015,FALSE
1,Franks,101.28,Earthbreakwood,139.88,2015,FALSE
1,Earthbreakwood,139.88,Franks,101.28,2015,TRUE
2,The Indubitablys,136.47,Franks,111.91,2015,TRUE
2,Franks,111.91,The Indubitablys,136.47,2015,FALSE
2,Binaries,183.71,The Chillybows,132.84,2015,TRUE
2,The Chillybows,132.84,Binaries,183.71,2015,FALSE
2,Priests with guns,97.01,Earthbreakwood,124.94,2015,FALSE
2,Earthbreakwood,124.94,Priests with guns,97.01,2015,TRUE
2,Nuns with guns,165.35,Polk High Panthers,130.01,2015,TRUE
2,Polk High Panthers,130.01,Nuns with guns,165.35,2015,FALSE
3,The Indubitablys,171.87,Nuns with guns,162.03,2015,TRUE
3,Nuns with guns,162.03,The Indubitablys,171.87,2015,FALSE
3,Binaries,142.74,Franks,175.93,2015,FALSE
3,Franks,175.93,Binaries,142.74,2015,TRUE
3,Priests with guns,186.76,The Chillybows,157.08,2015,TRUE
3,The Chillybows,157.08,Priests with guns,186.76,2015,FALSE
3,Earthbreakwood,166.21,Polk High Panthers,115.03,2015,TRUE
3,Polk High Panthers,115.03,Earthbreakwood,166.21,2015,FALSE
4,The Indubitablys,174.75,Binaries,121.62,2015,TRUE
4,Binaries,121.62,The Indubitablys,174.75,2015,FALSE
4,Priests with guns,115.04,Nuns with guns,102.51,2015,TRUE
4,Nuns with guns,102.51,Priests with guns,115.04,2015,FALSE
4,Franks,107.83,Polk High Panthers,118.33,2015,FALSE
4,Polk High Panthers,118.33,Franks,107.83,2015,TRUE
4,Earthbreakwood,105.97,The Chillybows,162.83,2015,FALSE
4,The Chillybows,162.83,Earthbreakwood,105.97,2015,TRUE
